Date,Brand,Title,price_full,price_soft,priceoff,Rating,Review Count
17/08/2024,ISDIN,Fusion Water 5 Stars FPS50 Color Clara - Protetor Solar Facial com Cor 50ml,"118,90","110,90",7,"49,00",856
17/08/2024,Almanati,Acneica ou Oleosa - Gel Creme Hidratante Facial 50g,"139,00","111,20",20,"0,00",0
17/08/2024,La Roche-Posay,Anthelios AE- Pigmentation FPS50 - Protetor Solar Facial 40g,"119,90","75,90",37,"44,00",41
17/08/2024,L'Oréal Paris,UV Defender Antioleosidade FPS 60 Média - Protetor Solar Facial 40g,"62,90","42,90",32,"49,00",463
17/08/2024,L'Oréal Paris,UV Defender Antioleosidade FPS 60 - Protetor Solar Facial 40g,"62,90","42,90",32,"49,00",222
17/08/2024,Mantecorp,Epsiol Smart Color FPS 50 - Protetor Solar Facial com Cor 40ml,"94,90","66,90",30,"33,00",20
17/08/2024,Eucerin,Sun Hydro Fluid FPS 60 - Protetor Solar Facial 50ml,"99,90","86,90",13,"50,00",4
17/08/2024,Vichy,Capital Soleil Hydra-Matte FPS50 - Protetor Solar Facial 30ml,"74,90","47,90",36,"48,00",46
17/08/2024,Libbs,Filtrum Ultra Seco FPS30 - Protetor Solar Facial 60g,"135,41","68,19",50,"47,00",21
17/08/2024,NIVEA,SUN Toque Seco Antissinais FPS 70 - Protetor Solar Facial 40ml,"46,01","38,89",15,"39,00",11
17/08/2024,Sunmax,Intense FPS60 - Protetor Solar Facial 60g,"82,90","45,90",45,"50,00",5
17/08/2024,Eucerin,Sun Pigment Control FPS 60 - Protetor Solar Facial 50ml,"109,90","102,90",6,"49,00",28
17/08/2024,Bioderma,Photoderm Max Aquafluide Neutro FPS 50+ - Protetor Solar Facial 40ml,"125,90","98,90",21,"45,00",44
17/08/2024,Creamy,Watery Lotion FPS 60 - Protetor Solar Facial 50ml,"90,00","60,90",32,"40,00",5
17/08/2024,Bioderma,Photoderm M Foncee FPS50+ 2.0 - Protetor Solar Facial com Cor 40ml,"125,90","75,90",40,"39,00",27
17/08/2024,Anasol,FPS 50 - Protetor Solar Facial 60g,"47,90","23,95",50,"47,00",100
17/08/2024,L'Oréal Paris,Solar Expertise Antirrugas FPS30 - Protetor Solar Facial 40g,"43,90","39,90",9,"40,00",5
17/08/2024,Mantecorp,Episol Color Tom 6 Negro FPS 70 - Protetor Solar Facial com Cor 40ml,"94,90","56,90",40,"45,00",81
17/08/2024,Neutrogena,Sun Fresh Derm Care FPS 70 Pele Negra - Protetor Solar Facial 40g,"65,90","58,90",11,"48,00",31
17/08/2024,Adcos,Fotoproteção Diária Aqua Fluid FPS50 Beige - Protetor Solar Facial com Cor 40ml,"149,90","126,90",15,"47,00",11
17/08/2024,Neutrogena,Sun Fresh Derm Care FPS 30 - Protetor Solar Facial 40g,"60,90","54,90",10,"49,00",17
17/08/2024,Cetaphil,Sun Antioxidante FPS 60 - Protetor Solar Facial 50ml,"84,90","79,90",6,"46,00",11
17/08/2024,Vichy,UV-Age Daily Sem Cor FPS 60 - Protetor Solar Facial 40g,"129,90","89,90",31,"49,00",27
17/08/2024,La Roche-Posay,Anthelios Airlicium FPS 80 - Protetor Solar Facial 40g,"99,90","74,90",25,"40,00",18
17/08/2024,Dermotivin,Benzac Pele Oleosa - Hidratante Matificante Facial 50ml,"69,90","54,90",21,"46,00",53
17/08/2024,Neutrogena,Sun Fresh Derm Care FPS 30 - Protetor Solar Facial 40g,"60,90","54,90",10,"49,00",17
17/08/2024,Mantecorp,Epidrat Calm B5  - Hidratante Reparador Facial 20ml,"49,90","42,90",14,"49,00",56
17/08/2024,Cetaphil,Sun Antioxidante FPS 60 - Protetor Solar Facial 50ml,"84,90","79,90",6,"46,00",11
17/08/2024,Bioderma,Photoderm Antioleosidade FPS 70 1 Muito Claro - Protetor Solar Facial com Cor 40g,"88,90","78,90",11,"30,00",2
17/08/2024,Vichy,UV-Age Daily Sem Cor FPS 60 - Protetor Solar Facial 40g,"129,90","89,90",31,"49,00",27
17/08/2024,L'Oréal Paris,UV Defender Fluido FPS 60 - Protetor Solar Facial 40g,"72,90","66,90",8,"49,00",80
17/08/2024,La Roche-Posay,Anthelios Airlicium FPS 80 - Protetor Solar Facial 40g,"99,90","74,90",25,"40,00",18
17/08/2024,Avène,Mat Perfect Fluido Clareador FPS70 Claro - Protetor Solar Facial com Cor 40g,"104,90","98,90",6,"47,00",21
17/08/2024,Eucerin,Sun Pigment Control Tinted FPS70 Médio  - Protetor Solar Facial 50ml,"109,90","102,90",6,"46,00",22
17/08/2024,Garnier,SkinAtive Uniform & Matte Vitamina C FPS30 - Protetor Hidratante Facial 40g,"51,90","47,90",8,"49,00",1083
17/08/2024,Ada Tina,Normalize Solar Hydra Comfort FPS 90 - Protetor Facial 40ml,"154,90","151,90",2,"42,00",6
17/08/2024,Profuse,Ensolei Antiacne Color FPS 30 - Protetor Solar Facial 40g,"105,90","81,99",23,"50,00",1
17/08/2024,Peel Line,Prod-D Anti-Oleosidade FPS 50 - Protetor Solar Facial 50g,"158,08","74,90",53,"0,00",0
17/08/2024,La Roche-Posay,Anthelios Airlicium FPS 70 Cor 3.0 - Protetor Solar Facial com Cor 40g,"128,90","89,90",30,"40,00",27
17/08/2024,Bioderma,Photoderm Spot-Age Neutro FPS50 + - Protetor Solar Facial 40ml,"135,90","105,90",22,"42,00",6
17/08/2024,ISDIN,Fotoprotector Fusion Water FPS 60 - Protetor Solar Facial 30ml,"79,18","70,93",10,"50,00",1
17/08/2024,Mantecorp,Epidrat Calm - Hidratante Facial 40g,"89,90","65,90",27,"49,00",56
17/08/2024,Adcos,Fotoproteção Diária Fluid Mineral FPS 50 Tonalizante - Protetor Solar Facial Com Cor 40ml,"200,00","169,00",16,"0,00",0
17/08/2024,Mantecorp,Mantercorp Epidrat Acqua - Hidratante Facial 50ml,"94,90","79,90",16,"43,00",7
17/08/2024,Adcos,Fotoproteção Diária Fluid Mineral FPS 50 Tonalizante - Protetor Solar Facial Com Cor 40ml,"200,00","169,00",16,"0,00",0
17/08/2024,Mantecorp,Mantercorp Epidrat Acqua - Hidratante Facial 50ml,"94,90","79,90",16,"43,00",7
17/08/2024,NIVEA,SUN Beauty Expert Sensitive FPS 60 - Protetor Solar Facial 50g,"112,23","83,69",25,"50,00",7
17/08/2024,Cosmobeauty,Cosmoblock DMAE FPS 75 PPD 25 - Protetor Solar Facial 100g,"209,99","197,99",6,"0,00",0
17/08/2024,Vichy,Minéral 89 - Hidratante Facial Fortalecedor 40ml,"109,90","98,90",10,"41,00",8
17/08/2024,Mantecorp,Epidrat Hyalu  - Hidratante Fortalecedor Facial 50ml,"139,90","118,90",15,"42,00",25
17/08/2024,L'Oréal Paris,Solar Expertise Antioleosidade FPS 60 3.0 - Protetor Solar Facial com Cor 40g,"52,90","49,90",6,"0,00",0
17/08/2024,Elemento Mineral,Nude Balm Mineral - Hidratante Facial 50g,"118,00","94,40",20,"47,00",60
17/08/2024,Profuse,Hidradeep Calm - Hidratante Corporal e Facial 400g,"262,30","155,54",41,"50,00",1
17/08/2024,Bruna Tavares,BT Cherry Blossom Beauty Cream - Hidratante Facial 40g,"100,00","52,90",47,"45,00",13
17/08/2024,Imecap,Actsun FPS60 - Protetor Solar Facial 50g,"68,20","40,94",40,"0,00",0
17/08/2024,Océane,Vitamin C Cream - Hidratante Facial 50g,"82,90","74,50",10,"50,00",2
17/08/2024,Profuse,Hidradeep Intensive - Hidratante Corporal e Facial 400g,"125,13","109,99",12,"50,00",2
17/08/2024,Melora,Heliocare Max Defense Gel Creme Color Nude Light FPS 50 - Protetor Solar com Cor 50g,"203,73","136,88",33,"42,00",21
17/08/2024,Ada Tina,Biosole E+ Ultra Vitamin FPS 90 - Protetor Solar Facial 40ml,"164,90","147,90",10,"0,00",0
